mutation_type,sample_size,latency_mean,latency_q25,latency_q75,latency_std,latency_median,output_len_mean,output_len_q25,output_len_q75,output_len_std,output_len_median
code_block,100,6.5334,1.3675000000000002,10.9875,6.467231187480716,3.56,237.79,38.75,395.5,267.148553044817,117.5
json,100,4.652,1.1875,5.955,4.9985201850551775,2.3,164.56,33.0,224.0,194.08996768394695,78.0
markdown,100,7.6078,1.4849999999999999,12.0725,7.539880713361264,4.9350000000000005,273.87,49.25,446.0,308.5945218063485,149.0
multi_turn,100,6.0828,1.6175000000000002,7.9625,6.236796166642166,3.0999999999999996,217.53,50.75,298.5,251.97901367640387,95.0
plain,100,6.3841,1.4125,11.067499999999999,6.150240874809849,3.6900000000000004,230.88,47.0,343.25,260.6771787386681,125.5
zh_en_mix,100,9.4054,1.92,13.9875,7.931790583379383,8.985,315.85,63.5,485.75,286.9041079728855,265.0
